"","CGid","SYMBOL","GeneRegionID","seqnames","CGstart","CGend","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","ENTREZID","transcriptId","distanceToTSS","ENSEMBL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances","genic","Intergenic","Promoter","fiveUTR","threeUTR","Exon","Intron","downstream","distal_intergenic","main_Categories","CpGislandseqnames","CpGislandstart","CpGislandend","CpGislandwidth","CpGislandstrand","CpGislandlen","CpGislandcount","CpGislandgc","CpGislandoe","CpGislandden","CpGislandpvalue","CpGisland","CGIslandNess","stackHMM","repeatElements","PMDstatus","PMDstatusDetailed","WCGW_inCommonPMDs","WCGW_GenomWide"
"24971","cg18359083","FOXP2","FOXP2_Exon","chr7",114293993,114293994,50,"+","Exon (uc003vgu.3/93986, exon 14 of 20)",7,113726365,114333827,607463,1,"93986","uc003vgu.3",567630,"ENSG00000128573","forkhead box P2","uc022ake.1;uc003vgu.3;uc003vgz.3;uc003vha.3;uc003vhb.3;uc011kmu.2;uc011kmv.2;uc003vhc.3;uc003vhd.3;uc010ljz.2;uc003vhe.1","100500896;93986;93986;93986;93986;93986;93986;93986;93986;93986;93986","0;0;0;0;0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhA5",NA,"PMD","commonPMD",NA,NA
"24972","cg18361104","MIR100HG","MIR100HG_Exon","chr11",121970469,121970470,50,"-","Promoter (<=1kb)",11,121959811,121971159,11349,2,"399959","uc001pya.3",639,"ENSG00000255248","mir-100-let-7a-2-mir-125b-1 cluster host gene","uc001pya.3;uc009zba.2;uc010rzr.1","399959;399959;406911","0;0;0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BivProm4",NA,"PMD","commonPMD",NA,NA
"24973","cg18361975","EFNA5","EFNA5_Intron","chr5",106738731,106738732,51,"-","Intron (uc003kol.3/1946, intron 2 of 4)",5,106712590,107006596,294007,2,"1946","uc003kol.3",267815,"ENSG00000184349","ephrin A5","uc003kol.3","1946","0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA2",NA,"HMD","neither",NA,NA
"24974","cg18362416","FAM126B","FAM126B_Exon","chr2",201852119,201852120,50,"+","Exon (uc002uwu.3/285172, exon 13 of 14)",2,201838441,201936392,97952,2,"285172","uc002uws.4",84222,"ENSG00000155744","family with sequence similarity 126 member B","uc002uws.4;uc002uwu.3;uc002uwv.3","285172;285172;285172","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEnh4",NA,"HMD","commonHMD",NA,NA
"24975","cg18362489","PHF21A","PHF21A_Promoter","chr11",46143434,46143435,50,"+","Promoter (<=1kb)",11,45967391,46142985,175595,2,"51317","uc001nce.2",-450,"ENSG00000135365","PHD finger protein 21A","uc001ncb.4;uc001ncc.4;uc009ykx.3;uc001nce.2","51317;51317;51317;51317","0;0;0;0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter","11",46142963,46143462,500,"*",500,76,0.796,0.962512664640324,0.152,9.85246386954938e-68,"CpGisland","+","TSS1",NA,"HMD","commonHMD",NA,NA
"24976","cg18362490","YAE1","YAE1_Intergenic_upstream","chr7",39538050,39538051,50,"-","Distal Intergenic",7,39606003,39612480,6478,1,"57002","uc003thc.4",-67951,"ENSG00000241127","YAE1 maturation factor of ABCE1",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ReprPC4",NA,"PMD","neither",NA,NA
"24977","cg18362686","CXXC4","CXXC4_Exon","chr4",105412269,105412270,50,"+","Exon (uc003hxf.2/80319, exon 2 of 3)",4,105389463,105416058,26596,2,"80319","uc003hxf.2",3738,"ENSG00000168772","CXXC finger protein 4","uc003hxf.2;uc010ilo.4","80319;80319","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","PromF5",NA,"PMD","commonPMD",NA,NA
"24978","cg18364721","XKR6","XKR6_Exon","chr8",10756202,10756203,50,"-","Exon (uc003wtk.1/286046, exon 3 of 3)",8,10753657,11058875,305219,2,"286046","uc003wtk.1",302673,"ENSG00000171044","XK related 6","uc003wtk.1","286046","0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","HET6",NA,"PMD","commonPMD",NA,NA
"24979","cg18366150","HNRNPH3","HNRNPH3_Promoter","chr10",70092816,70092817,51,"+","Promoter (<=1kb)",10,70091768,70102953,11186,1,"3189","uc001jnw.4",998,"ENSG00000096746","heterogeneous nuclear ribonucleoprotein H3","uc001jnw.4;uc001jnx.4;uc009xpu.3;uc010qiv.2;uc001jny.4;uc001jns.1;uc001jnt.1;uc001jnu.1","3189;3189;3189;3189;3189;64081;64081;64081","0;0;0;0;0;0;0;0",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","PromF4",NA,"HMD","commonHMD",NA,NA
"24980","cg18366518","GATA3","GATA3_Intergenic_downstream","chr10",8544709,8544710,50,"-","Distal Intergenic",10,8096667,8117164,20498,1,"2625","uc001ijz.3",448042,"ENSG00000107485","GATA binding protein 3",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhWk8",NA,"PMD","commonPMD",NA,NA
"24981","cg18367074","SP3","SP3_Exon","chr2",174774847,174774848,51,"-","Exon (uc002uie.3/6670, exon 5 of 5)",2,174771187,174830430,59244,2,"6670","uc002uig.3",55533,"ENSG00000172845","Sp3 transcription factor","uc002uie.3;uc002uif.3;uc002uig.3;uc010zel.2","6670;6670;6670;6670","0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx2",NA,"HMD","commonHMD",NA,NA
"24982","cg18367751","FEV","FEV_Exon","chr2",219849782,219849783,50,"+","Promoter (<=1kb)",2,219845809,219850379,4571,2,"54738","uc002vji.1",597,"ENSG00000163497","FEV transcription factor, ETS family member","uc002vji.1","54738","0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon","2",219849782,219850259,478,"*",478,58,0.734309623430962,0.902767828069033,0.121338912133891,3.39364173259219e-45,"CpGisland","+","BivProm2",NA,"PMD","neither",NA,NA
"24983","cg18368277","SMAD6","SMAD6_Intron","chr15",67048822,67048823,50,"-","Intron (uc002aqf.3/4091, intron 3 of 3)",15,66994674,67074337,79664,1,"4091","uc002aqf.3",54098,"ENSG00000137834","SMAD family member 6","uc002aqf.3;uc010bhx.3;uc002aqg.3","4091;4091;4091","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhWk3",NA,"HMD","commonHMD",NA,NA
"24984","cg18368305","ATXN2","ATXN2_threeUTR","chr12",111891584,111891585,50,"-","3' UTR",12,111890018,112037477,147460,2,"6311","uc001tsh.3",145893,"ENSG00000204842","ataxin 2","uc001tse.3;uc010syf.2;uc001tsf.3;uc010syg.2;uc001tsh.3;uc001tsi.3;uc001tsj.3;uc001tsk.3;uc001tsl.1","10019;10019;10019;10019;6311;6311;6311;6311;6311","47783;35622;35612;18869;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR","12",111891429,111891603,175,"*",175,13,0.622857142857143,0.789930555555556,0.0742857142857143,1.03117304124438e-07,"CpGisland","+","TxEnh4",NA,"HMD","commonHMD",NA,NA
"24985","cg18368628","TJP1","TJP1_Exon","chr15",30012698,30012699,50,"-","Exon (uc010azl.3/7082, exon 18 of 27)",15,29992357,30114706,122350,2,"7082","uc001zcr.3",101957,"ENSG00000104067","tight junction protein 1","uc010azl.3;uc001zcq.3;uc001zcr.3;uc001zcs.3","7082;7082;7082;7082","0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx3",NA,"HMD","commonHMD",NA,NA
"24986","cg18368924","DPH6-DT","DPH6-DT_Intron","chr15",36130855,36130856,50,"-","Intron (uc001zjc.3/100507466, intron 2 of 2)",15,35838396,36151202,312807,1,"100507466","uc001zjc.3",292461,NA,"DPH6 divergent transcript","uc001zjc.3","100507466","0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhWk8",NA,"PMD","commonPMD",NA,NA
"24987","cg18369277","ZBTB7B","ZBTB7B_Intron","chr1",154976592,154976593,51,"+","Intron (uc001fgj.4/51043, intron 2 of 5)",1,154975106,154991001,15896,1,"51043","uc001fgj.4",1436,"ENSG00000160685","zinc finger and BTB domain containing 7B","uc001fgj.4;uc001fgk.4;uc009wpa.3;uc010peq.3;uc031ppr.1","51043;51043;51043;51043;51043","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","1",154976343,154976785,443,"*",443,32,0.706546275395034,0.603234042553191,0.072234762979684,9.02460004984385e-18,"CpGisland","+","TSS1",NA,"HMD","commonHMD",NA,NA
"24988","cg18370228","HUWE1","HUWE1_Exon","chrX",53570802,53570803,50,"-","Exon (uc004dsn.4/10075, exon 42 of 53)",23,53559057,53620561,61505,2,"10075","uc004dsn.4",49708,"ENSG00000086758","HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1","uc004dsn.4;uc004dsp.4;uc004dsq.1","10075;10075;10075","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx3",NA,NA,NA,NA,NA
"24989","cg18370613","PTBP2","PTBP2_Intergenic_upstream","chr1",96882508,96882509,50,"-","Distal Intergenic",1,97187175,97280605,93431,1,"58155","uc001drr.3",-304717,"ENSG00000117569","polypyrimidine tract binding protein 2",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA4",NA,"PMD","commonPMD",NA,NA
"24990","cg18371171","KDM6A","KDM6A_fiveUTR","chrX",44732408,44732409,50,"-","Promoter (<=1kb)",23,44732423,44937750,205328,1,"7403","uc022bvi.1",0,"ENSG00000147050","lysine demethylase 6A","uc022bvi.1;uc010nhk.2;uc004dge.4;uc011mkz.2;uc011mla.2;uc011mlb.2;uc011mlc.2;uc022bvj.1;uc022bvk.1","7403;7403;7403;7403;7403;7403;7403;7403;7403","0;0;0;0;0;0;0;0;0",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"fiveUTR","X",44732455,44733353,899,"*",899,120,0.708565072302558,1.06485045898727,0.133481646273637,1.60548952442545e-98,"CpGisland","+","TSS1",NA,NA,NA,NA,NA
"24991","cg18371461","PTPN4","PTPN4_Exon","chr2",120718521,120718522,51,"-","Exon (uc002tmf.2/5775, exon 23 of 27)",2,120517207,120742474,225268,1,"5775","uc002tmf.2",201314,"ENSG00000088179","protein tyrosine phosphatase non-receptor type 4","uc002tmf.2;uc010flj.2;uc010yyr.2","5775;5775;5775","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx7",NA,"HMD","commonHMD",NA,"WCGW"
"24992","cg18372786","BCOR","BCOR_Intron","chrX",40028006,40028007,51,"+","Intron (uc004deo.4/54880, intron 1 of 13)",23,39910499,40036582,126084,2,"54880","uc004deo.4",8576,"ENSG00000183337","BCL6 corepressor","uc004deo.4;uc004dep.4","54880;54880","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","X",40027825,40028028,204,"*",204,20,0.745098039215686,0.706860706860707,0.0980392156862745,6.15329874643683e-14,"CpGisland","+","PromF1",NA,NA,NA,NA,NA
"24993","cg18373109","GBA3","GBA3_Exon","chr4",22737789,22737790,50,"-","Exon (uc031sdv.1/57733, exon 2 of 5)",4,22694537,22821195,126659,1,"57733","uc031sdv.1",43254,"ENSG00000249948","glucosylceramidase beta 3 (gene/pseudogene)","uc031sdv.1;uc031sdw.1;uc011bxo.3","57733;57733;57733","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhWk4",NA,"PMD","commonPMD",NA,NA
"24994","cg18375032","MIR125B2","MIR125B2_Intergenic_downstream","chr21",18149560,18149561,51,"-","Distal Intergenic",21,17962557,17962645,89,1,"406912","uc002ykf.3",187053,"ENSG00000207863","microRNA 125b-2",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhWk4",NA,"PMD","commonPMD",NA,NA
"24995","cg18377217","KCTD1","KCTD1_Exon","chr18",24128539,24128540,51,"+","Promoter (<=1kb)",18,24034874,24128500,93627,2,"284252","uc010xbj.3",0,"ENSG00000134504","potassium channel tetramerization domain containing 1","uc010xbj.3;uc002kvw.4;uc031rht.1;uc010xbk.3;uc031rhu.1","284252;284252;284252;284252;284252","0;0;0;0;0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon","18",24128236,24128558,323,"*",323,39,0.718266253869969,1.0132722007722,0.120743034055728,1.78059236959686e-30,"CpGisland",NA,"TSS1",NA,"HMD","neither",NA,NA
"24996","cg18377384","PSMD14","PSMD14_Intron","chr2",162238820,162238821,50,"-","Intron (uc002ubu.3/10213, intron 7 of 11)",2,162164786,162268228,103443,1,"10213","uc002ubu.3",74036,"ENSG00000115233","proteasome 26S subunit, non-ATPase 14","uc002ubu.3","10213","0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx2",NA,"HMD","commonHMD",NA,NA
"24997","cg18377921","CNTN6","CNTN6_Intron","chr3",1398014,1398015,50,"+","Intron (uc003boz.3/27255, intron 12 of 22)",3,1134620,1445278,310659,1,"27255","uc003boz.3",263395,"ENSG00000134115","contactin 6","uc003boz.3;uc011asj.2;uc003bpa.3","27255;27255;27255","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","Quies2",NA,"PMD","commonPMD",NA,NA
"24998","cg18378793","SKAP1","SKAP1_Intron","chr17",46230046,46230047,50,"-","Intron (uc002ini.1/8631, intron 11 of 12)",17,46210802,46507594,296793,2,"8631","uc002ini.1",277497,"ENSG00000141293","src kinase associated phosphoprotein 1","uc021tze.1;uc002ini.1;uc002inj.1;uc010dbd.1;uc010dbe.1","100302211;8631;8631;8631;8631","3776;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC3",NA,"PMD","commonPMD",NA,NA
"24999","cg18380508","MIR99AHG","MIR99AHG_Intron","chr21",17681815,17681816,50,"-","Intron (uc002ykb.2/388815, intron 4 of 7)",21,17442842,17982094,539253,1,"388815","uc002ykb.2",238924,"ENSG00000215386","mir-99a-let-7c cluster host gene","uc002ykb.2;uc010glc.2;uc002ykc.2","388815;388815;388815","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhA2",NA,"PMD","commonPMD",NA,NA
"25000","cg18380761","TRIM33","TRIM33_Exon","chr1",114942113,114942114,51,"-","Exon (uc010owr.2/51592, exon 13 of 15)",1,114935399,115053781,118383,2,"51592","uc001eew.3",111618,"ENSG00000197323","tripartite motif containing 33","uc010owr.2;uc010ows.2;uc001eew.3;uc001eex.3;uc001eey.1","51592;51592;51592;51592;51592","0;0;0;0;7559",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx6",NA,"HMD","commonHMD",NA,NA
"25001","cg18381049","BUB3","BUB3_Intergenic_downstream","chr10",125109074,125109075,50,"+","Distal Intergenic",10,124913760,124924886,11127,1,"9184","uc010qud.1",195265,"ENSG00000154473","BUB3 mitotic checkpoint protein",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhWk4",NA,"PMD","commonPMD",NA,NA
"25002","cg18381438","HOXD-AS2","HOXD-AS2_Exon","chr2",177003942,177003943,51,"+","Promoter (2-3kb)",2,176999569,177001826,2258,2,"100506783","uc002ukq.3",-2066,NA,"HOXD cluster antisense RNA 2","uc002ukq.3","100506783","0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BivProm2",NA,"PMD","neither",NA,"WCGW"
"25003","cg18381875","PPP2R2B","PPP2R2B_fiveUTR","chr5",146435543,146435544,50,"-","5' UTR",5,145969067,146461083,492017,2,"5521","uc011dbu.3",25540,"ENSG00000156475","protein phosphatase 2 regulatory subunit Bbeta","uc003loh.5;uc003loi.5;uc003loj.5;uc003lok.5;uc011dbu.3;uc011dbv.3","5521;5521;5521;5521;5521;5521","0;0;0;0;0;0",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"fiveUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhA6",NA,"PMD","commonPMD",NA,NA
"25004","cg18384097","PTPN7","PTPN7_Intron","chr1",202129566,202129567,51,"-","Intron (uc001gxm.2/5778, intron 1 of 9)",1,202116141,202130716,14576,2,"5778","uc001gxm.2",1100,"ENSG00000143851","protein tyrosine phosphatase non-receptor type 7","uc001gxl.2;uc001gxm.2;uc010ppw.2;uc010ppx.2;uc001gxn.3;uc010ppy.2;uc001gxo.1","5778;5778;5778;5778;5778;5778;5778","-447;0;0;0;0;0;-1989",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","EnhA8",NA,"HMD","commonHMD",NA,NA
"25005","cg18384139","RALGAPA2","RALGAPA2_Intron","chr20",20473338,20473339,50,"+","Intron (uc002wry.3/57186, intron 27 of 29)",20,20370272,20610234,239963,2,"57186","uc002wry.3",136896,"ENSG00000188559","Ral GTPase activating protein catalytic alpha subunit 2","uc002wry.3;uc002wrz.3;uc010zsg.2;uc002wsa.1","57186;57186;57186;57186","0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","20",20473254,20473395,142,"*",142,11,0.619718309859155,0.808488612836439,0.0774647887323944,8.80830201063952e-07,"CpGisland","+","EnhA19",NA,"HMD","commonHMD",NA,NA
"25006","cg18384387","CNOT6L","CNOT6L_Exon","chr4",78641755,78641756,51,"-","Exon (uc011ccd.2/246175, exon 12 of 12)",4,78634541,78740522,105982,2,"246175","uc011ccd.2",98717,"ENSG00000138767","CCR4-NOT transcription complex subunit 6 like","uc011ccd.2;uc003hks.3","246175;246175","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx5",NA,"HMD","commonHMD",NA,"WCGW"
"25007","cg18384829","MEF2A","MEF2A_Exon","chr15",100211601,100211602,50,"+","Exon (uc002bve.3/4205, exon 5 of 12)",15,100106133,100256629,150497,1,"4205","uc002bve.3",105419,"ENSG00000068305","myocyte enhancer factor 2A","uc002bve.3;uc002bvf.3;uc002bvg.3;uc010bos.3;uc010urv.2;uc002bvi.3;uc010urw.2;uc010bot.3","4205;4205;4205;4205;4205;4205;4205;4205","0;0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tx6",NA,"HMD","commonHMD",NA,NA
"25008","cg18385013","USP38","USP38_Exon","chr4",144106956,144106957,51,"-","Promoter (<=1kb)",4,144106070,144136729,30660,1,"84640","uc003ija.4",886,"ENSG00000170185","ubiquitin specific peptidase 38","uc003ija.4;uc003ijb.3;uc003ijc.3","84640;84640;84640","0;0;0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","PromF3",NA,"HMD","commonHMD",NA,NA
"25009","cg18385287","MVB12B","MVB12B_Intron","chr9",129199936,129199937,50,"-","Intron (uc004bqh.2/89853, intron 7 of 9)",9,129089123,129269320,180198,1,"89853","uc004bqh.2",110764,"ENSG00000196814","multivesicular body subunit 12B","uc004bqh.2;uc011lzy.2;uc010mxd.3","89853;89853;89853","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhA6",NA,"HMD","commonHMD",NA,NA
"25010","cg18385808","BCOR","BCOR_Intron","chrX",39953841,39953842,51,"-","Intron (uc004dem.4/54880, intron 1 of 14)",23,39910499,39956719,46221,2,"54880","uc004dem.4",2828,"ENSG00000183337","BCL6 corepressor","uc004dem.4;uc004den.4;uc004deo.4;uc004dep.4;uc004deq.4","54880;54880;54880;54880;54880","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","X",39953825,39954172,348,"*",348,40,0.698275862068966,0.947583390061266,0.114942528735632,2.66590538694444e-30,"CpGisland","+","TSS1",NA,NA,NA,NA,NA
"25011","cg18386876","FLRT2","FLRT2_threeUTR","chr14",86089794,86089795,51,"-","3' UTR",14,85996488,86094270,97783,1,"23768","uc001xvr.3",93306,"ENSG00000185070","fibronectin leucine rich transmembrane protein 2","uc001xvr.3;uc010atd.3","23768;23768","0;0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx5",NA,"PMD","neither",NA,NA
"25012","cg18387014","EGR3","EGR3_Promoter","chr8",22551091,22551092,50,"-","Promoter (<=1kb)",8,22545174,22550815,5642,2,"1960","uc003xcm.1",-276,"ENSG00000179388","early growth response 3","uc011kzn.1;uc011kzo.2;uc003xcm.1","1960;1960;1960","0;0;0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","PromF5",NA,"HMD","neither",NA,NA
"25013","cg18387085","TSHZ1","TSHZ1_Promoter","chr18",72922610,72922611,51,"+","Promoter (<=1kb)",18,72922710,73001905,79196,1,"10194","uc002lly.4",-100,"ENSG00000179981","teashirt zinc finger homeobox 1","uc002lly.4;uc002llx.3","10194;284273","0;0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TSS1",NA,"HMD","commonHMD",NA,NA
"25014","cg18387472","TCF7L2","TCF7L2_Intergenic_downstream","chr10",115004269,115004270,50,"-","Distal Intergenic",10,114889392,114927436,38045,1,"6934","uc010qrx.2",114877,"ENSG00000148737","transcription factor 7 like 2",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","EnhWk5",NA,"PMD","commonPMD","WCGW","WCGW"
"25015","cg18388380","RGS7BP","RGS7BP_Exon","chr5",63802491,63802492,51,"-","Promoter (<=1kb)",5,63801774,63908121,106348,1,"401190","uc003jtj.4",717,"ENSG00000186479","regulator of G protein signaling 7 binding protein","uc003jtj.4","401190","0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon","5",63802093,63802632,540,"*",540,54,0.675925925925926,0.876992481203007,0.1,3.50798679303386e-37,"CpGisland","+","BivProm1",NA,"PMD","commonPMD",NA,NA
"25016","cg18388639","UPF2","UPF2_fiveUTR","chr10",12084756,12084757,50,"+","Promoter (<=1kb)",10,11962021,12085169,123149,2,"26019","uc001ilc.3",363,"ENSG00000151461","UPF2 regulator of nonsense mediated mRNA decay","uc001ilb.3;uc001ilc.3;uc009xiz.2","26019;26019;26019","0;0;0",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"fiveUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","PromF4",NA,"HMD","commonHMD",NA,NA
"25017","cg18391771","LINC00856","LINC00856_Intron","chr10",80116576,80116577,50,"-","Intron (uc010qlp.2/100132987, intron 1 of 3)",10,80008382,80311112,302731,1,"100132987","uc010qlp.2",108196,"ENSG00000230417","long intergenic non-protein coding RNA 856","uc010qlp.2;uc001jzw.2","100132987;414243","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhA17",NA,"PMD","commonPMD",NA,NA
